,Location,Minute Delay
497,COLLEGE AND MANNING,43.0
498,BROADVIEW STATION,17.0
499,COLLEGE AND OSSINGTON,47.0
500,CHARLOTTE LOOP,10.0
501,DUNDAS WEST STATION,20.0
502,QUEEN'S PARK AND UNIVE,16.0
503,SPADINA AND ADELAIDE,42.0
504,DUNDAS WEST STATION,20.0
505,QUEEN AND VICTORIA,12.0
506,BROADVIEW STATION,14.0
507,KING AND PORTLAND,10.0
508,KING AND SHAW,14.0
509,QUEEN AND WOODFIELD,20.0
510,QUEEN AND SPADINA,33.0
511,NEVILLE PARK LOOP,20.0
512,RUSSELL YARD,0.0
513,DUNDAS AND RIVER,23.0
514,ST CLAIR WEST STATION,10.0
515,COLLEGE AND AUGUSTA,16.0
516,SHAW AND KING,8.0
517,DUNDAS WEST STATION,9.0
518,DUNDAS AND UNIVERSITY,20.0
519,WOODBINE LOOP,0.0
520,QUEEN AND CONNAUGHT,14.0
521,KING AND JOHN,12.0
522,DUNDAS WEST STATION,9.0
523,BATHURST AND DAVENPORT,10.0
524,RUSSELL YARD,0.0
525,EXHIBITION LOOP,12.0
526,KING AND BAY,22.0
527,BROADVIEW STATION,16.0
528,EXHIBITION LOOP,19.0
529,QUEEN'S QUAY STATION,20.0
530,DUNDAS WEST STATION,14.0
531,DUNDAS WEST STATION,20.0
532,QUEEN'S QUAY AND SPADI,26.0
533,SPADINA AND KING,20.0
534,QUEEN'S QUAY STATION,16.0
535,LONG BRANCH LOOP,60.0
536,LESLIE AND COMMISSIONE,0.0
537,BATHURST AND QUEEN,50.0
538,QUEEN AND RONCESVALLES,15.0
539,BATHURST AND COLLEGE,18.0
540,LAKESHORE AND KIPLING,20.0
541,EXHIBITION LOOP,20.0
542,DUNDAS WEST STATION,14.0
543,LAKESHORE AND KIPLING,20.0
544,CHURCH AND QUEEN,20.0
545,SUNNYSIDE LOOP,20.0
546,CHERRY AND FRONT,14.0
547,BROADVIEW STATION,14.0
548,SPADINA AND QUEEN QUAY,10.0
549,RICHMOND AND JARVIS,15.0
550,DUFFERIN GATE LOOP,20.0
551,BROADVIEW STATION,20.0
552,DUFFERIN GATE,20.0
553,QUEENSWAY AND RONCESVA,16.0
554,SPADINA AND BLUEJAY WA,27.0
555,QUEEN AND LANSDOWNE,15.0
556,SPADINA AND KING,22.0
557,PARLIAMENT AND DUNDAS,14.0
558,TORONTO TRANSIT COMMIS,0.0
559,QUEEN AND LESLIE,18.0
560,DUNDAS AND SACKVILLE,14.0
561,QUEEN AND CONNAUGHT,20.0
562,PARLIAMENT AND QUEEN,0.0
563,PARLIAMENT AND DUNDAS,16.0
564,DUNDAS WEST STATION,8.0
565,QUEEN AND ALTON,20.0
566,QUEEN AND ALTON,25.0
567,PARLIAMENT AND GERRARD,10.0
568,PARLIAMENT AND GERRARD,18.0
569,PARLIAMENT AND DUNDAS,18.0
570,QUEENSWAY AND GLENDALE,10.0
571,LANSDOWNE AND DUNDAS,18.0
572,ST CLAIR AND BATHURST,20.0
573,DUNDAS WEST STATION,18.0
574,QUEEN AND ALTON,20.0
575,QUEEN AND GREENWOOD,12.0
576,DUFFERIN LOOP,14.0
577,QUEEN AND RONCESVALLES,12.0
578,LAKESHORE AND PARKLAWN,10.0
579,EXHIBITION LOOP,20.0
580,BROADVIEW STATION,16.0
